Report Date,Case Status,Sex,Age group,District,Overseas travel,Infection status,Number of cases reported
5/04/2020,Probable,Female,10 to 19,Capital & Coast/Hutt,,First,1
5/04/2020,Probable,Female,10 to 19,Counties Manukau,,First,1
5/04/2020,Probable,Female,10 to 19,MidCentral,,First,1
5/04/2020,Probable,Female,10 to 19,Nelson Marlborough,,First,1
5/04/2020,Probable,Female,20 to 29,Canterbury/West Coast,,First,1
5/04/2020,Probable,Female,30 to 39,At the border,Yes,First,1
5/04/2020,Probable,Female,30 to 39,Auckland,,First,1
5/04/2020,Probable,Female,30 to 39,Canterbury/West Coast,,First,1
5/04/2020,Probable,Female,40 to 49,Auckland,,First,1
5/04/2020,Probable,Female,40 to 49,Counties Manukau,,First,1
5/04/2020,Probable,Female,50 to 59,Counties Manukau,,First,1
5/04/2020,Probable,Female,50 to 59,Southern,,First,1
5/04/2020,Probable,Female,60 to 69,Auckland,,First,1
5/04/2020,Probable,Female,70 to 79,Nelson Marlborough,,First,1
5/04/2020,Probable,Male,0 to 9,Southern,,First,1
5/04/2020,Probable,Male,10 to 19,Waitemata,,First,2
5/04/2020,Probable,Male,20 to 29,Waitemata,,First,1
5/04/2020,Probable,Male,30 to 39,Canterbury/West Coast,,First,1
5/04/2020,Probable,Male,40 to 49,Canterbury/West Coast,,First,1
5/04/2020,Probable,Male,40 to 49,Waitemata,,First,1
5/04/2020,Probable,Male,50 to 59,Southern,,First,1
5/04/2020,Probable,Male,60 to 69,Hawke's Bay,,First,1
5/04/2020,Probable,Male,70 to 79,Nelson Marlborough,,First,1
6/04/2020,Confirmed,Female,0 to 9,At the border,Yes,First,1
6/04/2020,Confirmed,Female,10 to 19,Waikato,,First,1
6/04/2020,Confirmed,Female,20 to 29,At the border,Yes,First,2
6/04/2020,Confirmed,Female,20 to 29,Auckland,,First,2
6/04/2020,Confirmed,Female,20 to 29,Canterbury/West Coast,,First,1
6/04/2020,Confirmed,Female,20 to 29,MidCentral,,First,1
6/04/2020,Confirmed,Female,20 to 29,Southern,,First,1
6/04/2020,Confirmed,Female,30 to 39,Southern,,First,1
6/04/2020,Confirmed,Female,40 to 49,Nelson Marlborough,,First,1
6/04/2020,Confirmed,Female,40 to 49,Northland,,First,1
6/04/2020,Confirmed,Female,40 to 49,Southern,,First,1
6/04/2020,Confirmed,Female,50 to 59,Canterbury/West Coast,,First,1
6/04/2020,Confirmed,Female,50 to 59,Counties Manukau,,First,1
6/04/2020,Confirmed,Female,50 to 59,Southern,,First,1
6/04/2020,Confirmed,Female,60 to 69,At the border,Yes,First,1
6/04/2020,Confirmed,Female,60 to 69,Canterbury/West Coast,,First,1
6/04/2020,Confirmed,Male,10 to 19,Bay of Plenty,,First,1
6/04/2020,Confirmed,Male,20 to 29,At the border,Yes,First,2
6/04/2020,Confirmed,Male,30 to 39,At the border,Yes,First,1
6/04/2020,Confirmed,Male,30 to 39,Canterbury/West Coast,,First,1
6/04/2020,Confirmed,Male,30 to 39,Southern,,First,4
6/04/2020,Confirmed,Male,40 to 49,Waikato,,First,1
6/04/2020,Confirmed,Male,50 to 59,Auckland,,First,1
6/04/2020,Confirmed,Male,50 to 59,Counties Manukau,,First,1
6/04/2020,Confirmed,Male,70 to 79,Canterbury/West Coast,,First,1
6/04/2020,Probable,Female,0 to 9,Auckland,,First,1
6/04/2020,Probable,Female,10 to 19,Waikato,,First,1
6/04/2020,Probable,Female,10 to 19,Waitemata,,First,1
6/04/2020,Probable,Female,20 to 29,Canterbury/West Coast,,First,1
6/04/2020,Probable,Female,20 to 29,Waikato,,First,1
6/04/2020,Probable,Female,30 to 39,Counties Manukau,,First,1
6/04/2020,Probable,Female,30 to 39,Waikato,,First,1
6/04/2020,Probable,Female,30 to 39,Waitemata,,First,1
6/04/2020,Probable,Female,40 to 49,Bay of Plenty,,First,1
6/04/2020,Probable,Female,50 to 59,Counties Manukau,,First,1
6/04/2020,Probable,Female,50 to 59,Waikato,,First,1
6/04/2020,Probable,Male,0 to 9,Auckland,,First,1
6/04/2020,Probable,Male,0 to 9,Counties Manukau,,First,1
6/04/2020,Probable,Male,20 to 29,Canterbury/West Coast,,First,1
6/04/2020,Probable,Male,30 to 39,Auckland,,First,1
6/04/2020,Probable,Male,30 to 39,Bay of Plenty,,First,1
6/04/2020,Probable,Male,30 to 39,Canterbury/West Coast,,First,1
6/04/2020,Probable,Male,50 to 59,Canterbury/West Coast,,First,1
6/04/2020,Probable,Male,50 to 59,Capital & Coast/Hutt,,First,1
6/04/2020,Probable,Male,50 to 59,Nelson Marlborough,,First,1
6/04/2020,Probable,Male,50 to 59,Waikato,,First,1
6/04/2020,Probable,Male,60 to 69,Canterbury/West Coast,,First,1
7/04/2020,Confirmed,Female,10 to 19,Hawke's Bay,,First,1
7/04/2020,Confirmed,Female,10 to 19,Southern,,First,1
7/04/2020,Confirmed,Female,20 to 29,At the border,Yes,First,1
7/04/2020,Confirmed,Female,20 to 29,Southern,,First,2
7/04/2020,Confirmed,Female,40 to 49,Northland,,First,1
7/04/2020,Confirmed,Female,50 to 59,At the border,Yes,First,1
7/04/2020,Confirmed,Female,50 to 59,Waitemata,,First,2
7/04/2020,Confirmed,Female,60 to 69,Waikato,,First,1
7/04/2020,Confirmed,Female,70 to 79,Northland,,First,1
7/04/2020,Confirmed,Male,20 to 29,At the border,Yes,First,1
7/04/2020,Confirmed,Male,20 to 29,Southern,,First,3
7/04/2020,Confirmed,Male,30 to 39,Canterbury/West Coast,,First,1
7/04/2020,Confirmed,Male,30 to 39,Waikato,,First,2
7/04/2020,Confirmed,Male,40 to 49,Waitemata,,First,1
7/04/2020,Confirmed,Male,50 to 59,At the border,Yes,First,1
7/04/2020,Confirmed,Male,50 to 59,Auckland,,First,1
7/04/2020,Confirmed,Male,50 to 59,Waitemata,,First,2
7/04/2020,Confirmed,Male,60 to 69,At the border,Yes,First,1
7/04/2020,Probable,Female,10 to 19,Nelson Marlborough,,First,1
7/04/2020,Probable,Female,30 to 39,Canterbury/West Coast,,First,2
7/04/2020,Probable,Female,40 to 49,Nelson Marlborough,,First,1
7/04/2020,Probable,Female,40 to 49,Southern,,First,1
7/04/2020,Probable,Female,40 to 49,Waikato,,First,1
7/04/2020,Probable,Female,40 to 49,Waitemata,,First,1
7/04/2020,Probable,Female,50 to 59,At the border,Yes,First,2
7/04/2020,Probable,Female,50 to 59,Auckland,,First,1
7/04/2020,Probable,Male,20 to 29,At the border,Yes,First,1
7/04/2020,Probable,Male,20 to 29,Southern,,First,1
7/04/2020,Probable,Male,50 to 59,Waikato,,First,1
8/04/2020,Confirmed,Female,20 to 29,At the border,Yes,First,2
8/04/2020,Confirmed,Female,20 to 29,Waitemata,,First,1
8/04/2020,Confirmed,Female,30 to 39,Auckland,,First,2
8/04/2020,Confirmed,Female,30 to 39,South Canterbury,,First,1
8/04/2020,Confirmed,Female,40 to 49,At the border,Yes,First,2
8/04/2020,Confirmed,Female,40 to 49,Hawke's Bay,,First,1
8/04/2020,Confirmed,Female,40 to 49,Southern,,First,1
8/04/2020,Confirmed,Female,40 to 49,Waitemata,,First,1
8/04/2020,Confirmed,Female,50 to 59,At the border,Yes,First,1
8/04/2020,Confirmed,Female,50 to 59,Waitemata,,First,1
8/04/2020,Confirmed,Female,60 to 69,At the border,Yes,First,1
8/04/2020,Confirmed,Male,10 to 19,Southern,,First,1
8/04/2020,Confirmed,Male,20 to 29,At the border,Yes,First,1
8/04/2020,Confirmed,Male,40 to 49,At the border,Yes,First,1
8/04/2020,Probable,Female,20 to 29,Canterbury/West Coast,,First,1
8/04/2020,Probable,Female,20 to 29,Southern,,First,1
8/04/2020,Probable,Female,20 to 29,Waitemata,,First,1
8/04/2020,Probable,Female,30 to 39,Canterbury/West Coast,,First,1
8/04/2020,Probable,Female,40 to 49,Waikato,,First,2
8/04/2020,Probable,Female,60 to 69,Waikato,,First,1
8/04/2020,Probable,Male,0 to 9,Canterbury/West Coast,,First,1
8/04/2020,Probable,Male,30 to 39,At the border,Yes,First,1
8/04/2020,Probable,Male,40 to 49,Auckland,,First,1
8/04/2020,Probable,Unknown,Unknown,Canterbury/West Coast,,First,1
9/04/2020,Confirmed,Female,10 to 19,Counties Manukau,,First,1
9/04/2020,Confirmed,Female,10 to 19,Waitemata,,First,2
9/04/2020,Confirmed,Female,20 to 29,Canterbury/West Coast,,First,1
9/04/2020,Confirmed,Female,20 to 29,Southern,,First,1
9/04/2020,Confirmed,Female,30 to 39,Auckland,,First,1
9/04/2020,Confirmed,Female,30 to 39,Canterbury/West Coast,,First,1
9/04/2020,Confirmed,Female,30 to 39,Waikato,,First,1
9/04/2020,Confirmed,Female,40 to 49,Counties Manukau,,First,1
9/04/2020,Confirmed,Female,40 to 49,Waitemata,,First,1
9/04/2020,Confirmed,Female,50 to 59,Canterbury/West Coast,,First,1
9/04/2020,Confirmed,Female,60 to 69,At the border,Yes,First,1
9/04/2020,Confirmed,Female,60 to 69,Auckland,,First,1
9/04/2020,Confirmed,Female,70 to 79,At the border,Yes,First,1
9/04/2020,Confirmed,Male,10 to 19,Capital & Coast/Hutt,,First,1
9/04/2020,Confirmed,Male,10 to 19,Counties Manukau,,First,1
9/04/2020,Confirmed,Male,10 to 19,Hawke's Bay,,First,1
9/04/2020,Confirmed,Male,20 to 29,Auckland,,First,3
9/04/2020,Confirmed,Male,20 to 29,Canterbury/West Coast,,First,1
9/04/2020,Confirmed,Male,20 to 29,Waikato,,First,1
9/04/2020,Confirmed,Male,30 to 39,Southern,,First,1
9/04/2020,Confirmed,Male,30 to 39,Waitemata,,First,1
9/04/2020,Confirmed,Male,40 to 49,At the border,Yes,First,1
9/04/2020,Confirmed,Male,40 to 49,Canterbury/West Coast,,First,1
9/04/2020,Confirmed,Male,50 to 59,Counties Manukau,,First,1
9/04/2020,Confirmed,Male,60 to 69,Auckland,,First,1
9/04/2020,Confirmed,Male,70 to 79,Auckland,,First,1
9/04/2020,Confirmed,Male,80 to 89,Auckland,,First,1
9/04/2020,Probable,Female,0 to 9,Bay of Plenty,,First,2
9/04/2020,Probable,Female,10 to 19,Canterbury/West Coast,,First,2
9/04/2020,Probable,Female,20 to 29,At the border,Yes,First,1
9/04/2020,Probable,Female,20 to 29,Auckland,,First,1
9/04/2020,Probable,Female,20 to 29,Canterbury/West Coast,,First,1
9/04/2020,Probable,Female,30 to 39,Hawke's Bay,,First,1
9/04/2020,Probable,Female,50 to 59,Southern,,First,1
9/04/2020,Probable,Male,0 to 9,Auckland,,First,2
9/04/2020,Probable,Male,20 to 29,Northland,,First,1
9/04/2020,Probable,Male,30 to 39,Canterbury/West Coast,,First,1
9/04/2020,Probable,Male,40 to 49,Canterbury/West Coast,,First,1
10/04/2020,Confirmed,Female,20 to 29,At the border,Yes,First,2
10/04/2020,Confirmed,Female,20 to 29,Bay of Plenty,,First,1
10/04/2020,Confirmed,Female,30 to 39,Waitemata,,First,1
10/04/2020,Confirmed,Female,50 to 59,At the border,Yes,First,1
10/04/2020,Confirmed,Female,70 to 79,Waitemata,,First,2
10/04/2020,Confirmed,Male,40 to 49,Northland,,First,1
10/04/2020,Probable,Female,20 to 29,At the border,Yes,First,1
10/04/2020,Probable,Female,20 to 29,Canterbury/West Coast,,First,1
10/04/2020,Probable,Female,20 to 29,Southern,,First,2
10/04/2020,Probable,Female,20 to 29,Waikato,,First,1
10/04/2020,Probable,Female,30 to 39,At the border,Yes,First,1
10/04/2020,Probable,Female,40 to 49,Auckland,,First,1
10/04/2020,Probable,Female,40 to 49,Waikato,,First,1
10/04/2020,Probable,Female,40 to 49,Waitemata,,First,1
10/04/2020,Probable,Female,50 to 59,Bay of Plenty,,First,1
10/04/2020,Probable,Female,50 to 59,Canterbury/West Coast,,First,1
10/04/2020,Probable,Female,60 to 69,At the border,Yes,First,1
10/04/2020,Probable,Female,70 to 79,Auckland,,First,1
10/04/2020,Probable,Female,90+,Auckland,,First,1
10/04/2020,Probable,Male,10 to 19,Southern,,First,1
10/04/2020,Probable,Male,20 to 29,Southern,,First,1
10/04/2020,Probable,Male,20 to 29,Waitemata,,First,1
10/04/2020,Probable,Male,30 to 39,Auckland,,First,1
10/04/2020,Probable,Male,30 to 39,Waitemata,,First,1
11/04/2020,Confirmed,Female,10 to 19,Waitemata,,First,1
11/04/2020,Confirmed,Female,20 to 29,At the border,Yes,First,1
11/04/2020,Confirmed,Female,30 to 39,At the border,Yes,First,1
11/04/2020,Confirmed,Female,30 to 39,Northland,,First,1
11/04/2020,Confirmed,Female,30 to 39,South Canterbury,,First,1
11/04/2020,Confirmed,Female,50 to 59,Waitemata,,First,1
11/04/2020,Confirmed,Male,0 to 9,Waikato,,First,1
11/04/2020,Confirmed,Male,20 to 29,At the border,Yes,First,1
11/04/2020,Confirmed,Male,20 to 29,Waikato,,First,1
11/04/2020,Confirmed,Male,30 to 39,At the border,Yes,First,1
11/04/2020,Confirmed,Male,40 to 49,Waitemata,,First,1
11/04/2020,Confirmed,Male,50 to 59,At the border,Yes,First,1
11/04/2020,Confirmed,Male,50 to 59,Waitemata,,First,1
11/04/2020,Probable,Female,0 to 9,Waikato,,First,2
11/04/2020,Probable,Female,20 to 29,At the border,Yes,First,1
11/04/2020,Probable,Female,20 to 29,Waikato,,First,1
11/04/2020,Probable,Female,30 to 39,Waikato,,First,1
11/04/2020,Probable,Female,40 to 49,At the border,Yes,First,1
11/04/2020,Probable,Female,40 to 49,Waitemata,,First,2
11/04/2020,Probable,Female,50 to 59,At the border,Yes,First,1
11/04/2020,Probable,Male,0 to 9,Waitemata,,First,1
11/04/2020,Probable,Male,40 to 49,At the border,Yes,First,1
11/04/2020,Probable,Male,40 to 49,Canterbury/West Coast,,First,1
12/04/2020,Confirmed,Female,10 to 19,Canterbury/West Coast,,First,1
12/04/2020,Confirmed,Female,30 to 39,Waitemata,,First,2
12/04/2020,Confirmed,Female,40 to 49,Canterbury/West Coast,,First,1
12/04/2020,Confirmed,Female,40 to 49,Hawke's Bay,,First,1
12/04/2020,Confirmed,Female,50 to 59,Capital & Coast/Hutt,,First,1
12/04/2020,Confirmed,Female,60 to 69,At the border,Yes,First,1
12/04/2020,Confirmed,Male,60 to 69,At the border,Yes,First,2
12/04/2020,Confirmed,Male,60 to 69,Waitemata,,First,1
12/04/2020,Confirmed,Male,70 to 79,At the border,Yes,First,1
12/04/2020,Probable,Female,40 to 49,Auckland,,First,2
12/04/2020,Probable,Male,10 to 19,At the border,Yes,First,1
12/04/2020,Probable,Male,10 to 19,Canterbury/West Coast,,First,1
12/04/2020,Probable,Male,20 to 29,Southern,,First,1
12/04/2020,Probable,Male,40 to 49,Auckland,,First,1
12/04/2020,Probable,Male,50 to 59,Southern,,First,3
13/04/2020,Confirmed,Female,60 to 69,Canterbury/West Coast,,First,1
13/04/2020,Confirmed,Male,10 to 19,Northland,,First,1
13/04/2020,Confirmed,Male,80 to 89,Waitemata,,First,1
13/04/2020,Probable,Female,10 to 19,Southern,,First,1
13/04/2020,Probable,Female,10 to 19,Waitemata,,First,2
13/04/2020,Probable,Female,20 to 29,Counties Manukau,,First,1
13/04/2020,Probable,Female,50 to 59,Waitemata,,First,1
13/04/2020,Probable,Female,70 to 79,Waitemata,,First,1
13/04/2020,Probable,Male,10 to 19,Waitemata,,First,1
13/04/2020,Probable,Male,80 to 89,Auckland,,First,1
14/04/2020,Confirmed,Female,20 to 29,Canterbury/West Coast,,First,1
14/04/2020,Confirmed,Female,40 to 49,Tairawhiti,,First,1
14/04/2020,Confirmed,Female,60 to 69,At the border,Yes,First,1
14/04/2020,Confirmed,Female,60 to 69,Counties Manukau,,First,1
14/04/2020,Confirmed,Male,40 to 49,South Canterbury,,First,1
14/04/2020,Confirmed,Male,50 to 59,At the border,Yes,First,1
14/04/2020,Confirmed,Male,50 to 59,Tairawhiti,,First,1
14/04/2020,Confirmed,Male,60 to 69,At the border,Yes,First,1
14/04/2020,Probable,Female,0 to 9,Bay of Plenty,,First,1
14/04/2020,Probable,Female,30 to 39,Bay of Plenty,,First,1
14/04/2020,Probable,Female,30 to 39,Waikato,,First,1
14/04/2020,Probable,Female,50 to 59,Auckland,,First,1
14/04/2020,Probable,Male,30 to 39,Southern,,First,1
14/04/2020,Probable,Male,50 to 59,Bay of Plenty,,First,1
14/04/2020,Probable,Male,50 to 59,Southern,,First,1
14/04/2020,Probable,Male,60 to 69,Counties Manukau,,First,1
15/04/2020,Confirmed,Female,10 to 19,Southern,,First,1
15/04/2020,Confirmed,Female,90+,Waitemata,,First,1
15/04/2020,Confirmed,Male,20 to 29,Canterbury/West Coast,,First,1
15/04/2020,Confirmed,Male,40 to 49,South Canterbury,,First,1
15/04/2020,Probable,Female,0 to 9,Waikato,,First,1
15/04/2020,Probable,Female,20 to 29,Canterbury/West Coast,,First,1
15/04/2020,Probable,Female,40 to 49,Capital & Coast/Hutt,,First,1
15/04/2020,Probable,Female,60 to 69,Capital & Coast/Hutt,,First,1
15/04/2020,Probable,Male,0 to 9,Waikato,,First,1
15/04/2020,Probable,Male,50 to 59,Capital & Coast/Hutt,,First,1
15/04/2020,Probable,Male,50 to 59,MidCentral,,First,1
16/04/2020,Confirmed,Female,10 to 19,Canterbury/West Coast,,First,1
16/04/2020,Confirmed,Female,50 to 59,Canterbury/West Coast,,First,1
16/04/2020,Confirmed,Female,50 to 59,Waitemata,,First,1
16/04/2020,Confirmed,Female,60 to 69,At the border,Yes,First,1
16/04/2020,Confirmed,Female,70 to 79,Waitemata,,First,1
16/04/2020,Confirmed,Female,80 to 89,Waitemata,,First,1
16/04/2020,Confirmed,Female,90+,Waitemata,,First,1
16/04/2020,Confirmed,Male,0 to 9,Auckland,,First,1
16/04/2020,Confirmed,Male,30 to 39,Capital & Coast/Hutt,,First,1
16/04/2020,Confirmed,Male,60 to 69,At the border,Yes,First,1
16/04/2020,Confirmed,Male,70 to 79,At the border,Yes,First,1
16/04/2020,Confirmed,Male,70 to 79,Northland,,First,1
16/04/2020,Confirmed,Male,80 to 89,Canterbury/West Coast,,First,1
16/04/2020,Probable,Female,40 to 49,Waitemata,,First,1
16/04/2020,Probable,Female,50 to 59,Waikato,,First,1
16/04/2020,Probable,Male,10 to 19,Southern,,First,1
16/04/2020,Probable,Male,80 to 89,Auckland,,First,1
17/04/2020,Confirmed,Female,40 to 49,Bay of Plenty,,First,1
17/04/2020,Confirmed,Female,70 to 79,At the border,Yes,First,1
17/04/2020,Confirmed,Male,20 to 29,Whanganui,,First,1
17/04/2020,Confirmed,Male,40 to 49,Lakes,,First,1
17/04/2020,Confirmed,Male,70 to 79,At the border,Yes,First,1
17/04/2020,Confirmed,Male,70 to 79,South Canterbury,,First,1
17/04/2020,Probable,Female,20 to 29,At the border,Yes,First,1
17/04/2020,Probable,Female,30 to 39,Capital & Coast/Hutt,,First,1
17/04/2020,Probable,Female,30 to 39,Counties Manukau,,First,1
17/04/2020,Probable,Female,50 to 59,Waitemata,,First,1
17/04/2020,Probable,Male,0 to 9,Southern,,First,1
17/04/2020,Probable,Male,50 to 59,Auckland,,First,1
18/04/2020,Confirmed,Female,30 to 39,Waitemata,,First,1
18/04/2020,Confirmed,Female,70 to 79,At the border,Yes,First,1
18/04/2020,Confirmed,Female,90+,Canterbury/West Coast,,First,1
18/04/2020,Confirmed,Male,60 to 69,Canterbury/West Coast,,First,1
18/04/2020,Confirmed,Male,70 to 79,At the border,Yes,First,1
18/04/2020,Probable,Female,0 to 9,Waitemata,,First,1
18/04/2020,Probable,Female,20 to 29,Waitemata,,First,1
18/04/2020,Probable,Female,40 to 49,Auckland,,First,1
18/04/2020,Probable,Female,50 to 59,Waikato,,First,1
18/04/2020,Probable,Male,20 to 29,Waitemata,,First,1
19/04/2020,Confirmed,Female,10 to 19,Canterbury/West Coast,,First,1
19/04/2020,Confirmed,Female,20 to 29,Canterbury/West Coast,,First,2
19/04/2020,Confirmed,Female,30 to 39,Bay of Plenty,,First,1
19/04/2020,Confirmed,Female,50 to 59,South Canterbury,,First,1
19/04/2020,Confirmed,Female,60 to 69,At the border,Yes,First,1
19/04/2020,Confirmed,Male,50 to 59,Bay of Plenty,,First,1
19/04/2020,Probable,Female,20 to 29,At the border,Yes,First,1
19/04/2020,Probable,Female,30 to 39,Waitemata,,First,1
19/04/2020,Probable,Male,20 to 29,Whanganui,,First,1
20/04/2020,Probable,Female,20 to 29,Capital & Coast/Hutt,,First,1
20/04/2020,Probable,Female,30 to 39,Capital & Coast/Hutt,,First,1
20/04/2020,Probable,Female,60 to 69,Canterbury/West Coast,,First,1
21/04/2020,Confirmed,Female,90+,Waikato,,First,1
21/04/2020,Probable,Female,10 to 19,Counties Manukau,,First,1
21/04/2020,Probable,Female,50 to 59,Auckland,,First,1
21/04/2020,Probable,Female,60 to 69,Canterbury/West Coast,,First,1
21/04/2020,Probable,Male,40 to 49,Counties Manukau,,First,1
21/04/2020,Probable,Male,70 to 79,Canterbury/West Coast,,First,1
22/04/2020,Confirmed,Female,20 to 29,Counties Manukau,,First,1
22/04/2020,Confirmed,Male,40 to 49,Hawke's Bay,,First,1
22/04/2020,Probable,Female,50 to 59,At the border,Yes,First,1
22/04/2020,Probable,Female,80 to 89,Canterbury/West Coast,,First,1
22/04/2020,Probable,Male,20 to 29,Canterbury/West Coast,,First,1
23/04/2020,Confirmed,Female,20 to 29,Canterbury/West Coast,,First,1
23/04/2020,Confirmed,Female,40 to 49,Canterbury/West Coast,,First,1
23/04/2020,Confirmed,Male,20 to 29,At the border,Yes,First,1
23/04/2020,Probable,Female,40 to 49,Waikato,,First,1
23/04/2020,Probable,Male,20 to 29,Waitemata,,First,1
24/04/2020,Confirmed,Female,10 to 19,Waitemata,,First,1
24/04/2020,Confirmed,Female,60 to 69,Waitemata,,First,1
24/04/2020,Confirmed,Male,10 to 19,Waitemata,,First,1
24/04/2020,Confirmed,Male,20 to 29,Canterbury/West Coast,,First,1
24/04/2020,Probable,Female,10 to 19,Counties Manukau,,First,1
24/04/2020,Probable,Male,60 to 69,Canterbury/West Coast,,First,1
25/04/2020,Confirmed,Female,50 to 59,At the border,Yes,First,1
25/04/2020,Probable,Female,30 to 39,Waitemata,,First,1
25/04/2020,Probable,Female,40 to 49,Auckland,,First,1
25/04/2020,Probable,Female,40 to 49,Waitemata,,First,1
25/04/2020,Probable,Female,50 to 59,Waitemata,,First,1
25/04/2020,Probable,Female,70 to 79,South Canterbury,,First,1
26/04/2020,Confirmed,Female,30 to 39,Waitemata,,First,1
26/04/2020,Confirmed,Male,40 to 49,Hawke's Bay,,First,1
26/04/2020,Probable,Female,50 to 59,Taranaki,,First,1
27/04/2020,Confirmed,Female,20 to 29,Waitemata,,First,1
27/04/2020,Confirmed,Female,50 to 59,Hawke's Bay,,First,1
27/04/2020,Confirmed,Male,30 to 39,Waitemata,,First,1
28/04/2020,Confirmed,Male,40 to 49,At the border,Yes,First,1
29/04/2020,Confirmed,Female,30 to 39,At the border,Yes,First,1
29/04/2020,Confirmed,Male,50 to 59,Counties Manukau,,First,1
30/04/2020,Confirmed,Female,20 to 29,Auckland,,First,1
30/04/2020,Confirmed,Female,30 to 39,Auckland,,First,1
30/04/2020,Confirmed,Female,40 to 49,Waitemata,,First,1
1/05/2020,Confirmed,Female,20 to 29,Canterbury/West Coast,,First,1
1/05/2020,Confirmed,Female,30 to 39,Canterbury/West Coast,,First,1
1/05/2020,Confirmed,Female,80 to 89,Waitemata,,First,1
1/05/2020,Confirmed,Male,60 to 69,Auckland,,First,1
1/05/2020,Probable,Female,20 to 29,Auckland,,First,1
1/05/2020,Probable,Male,30 to 39,Waitemata,,First,1
3/05/2020,Confirmed,Male,60 to 69,At the border,Yes,First,1
5/05/2020,Confirmed,Female,10 to 19,Waitemata,,First,1
5/05/2020,Probable,Male,40 to 49,Auckland,,First,1
6/05/2020,Confirmed,Male,0 to 9,Waikato,,First,1
6/05/2020,Confirmed,Male,30 to 39,Waitemata,,First,1
7/05/2020,Confirmed,Female,20 to 29,Waitemata,,First,1
8/05/2020,Probable,Female,40 to 49,Waitemata,,First,1
9/05/2020,Confirmed,Female,20 to 29,At the border,Yes,First,1
10/05/2020,Confirmed,Female,30 to 39,Waitemata,,First,2
10/05/2020,Confirmed,Female,50 to 59,At the border,Yes,First,1
14/05/2020,Confirmed,Female,10 to 19,Waitemata,,First,1
15/05/2020,Confirmed,Male,0 to 9,Canterbury/West Coast,,First,1
22/05/2020,Confirmed,Female,50 to 59,Auckland,,First,1
